id,player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id
729,4,Bam,Adebayo,C-F,6.0,9.0,81.0,,,,,,,,16
730,5,DeVaughn,Akoon-Purcell,G-F,6.0,5.0,77.0,,,,,,,,8
731,6,LaMarcus,Aldridge,F,6.0,11.0,83.0,,,,,,,,3
732,7,Rawle,Alkins,G,6.0,5.0,77.0,,,,,,,,5
733,8,Grayson,Allen,G,6.0,4.0,76.0,,,,,,,,24
734,9,Jarrett,Allen,C,6.0,9.0,81.0,,,,,,,,6
735,10,Al-Farouq,Aminu,F,6.0,8.0,80.0,,,,,,,,25
736,11,Justin,Anderson,G-F,6.0,5.0,77.0,,,,,,,,12
737,12,Kyle,Anderson,F,6.0,9.0,81.0,,,,,,,,16
738,13,Ryan,Anderson,F,6.0,10.0,82.0,,,,,,,,19
739,14,Ike,Anigbogu,C,6.0,10.0,82.0,,,,,,,,12
740,15,Giannis,Antetokounmpo,F,6.0,11.0,83.0,,,,,,,,17
741,16,Kostas,Antetokounmpo,F,6.0,10.0,82.0,,,,,,,,5
742,17,Carmelo,Anthony,F,6.0,7.0,79.0,,,,,,,,14
743,18,OG,Anunoby,F,6.0,7.0,79.0,,,,,,,,20
744,19,Ryan,Arcidiacono,G,6.0,3.0,75.0,,,,,,,,20
745,20,Trevor,Ariza,F,6.0,8.0,80.0,,,,,,,,14
746,21,D.J.,Augustin,G,5.0,11.0,71.0,,,,,,,,14
747,22,Deandre,Ayton,C,7.0,0.0,84.0,,,,,,,,25
749,24,Marvin,Bagley III,F,6.0,10.0,82.0,,,,,,,,15
750,25,Ron,Baker,G,6.0,4.0,76.0,,,,,,,,20
751,26,Wade,Baldwin IV,G,6.0,4.0,76.0,,,,,,,,15
752,27,Lonzo,Ball,G,6.0,6.0,78.0,,,,,,,,5
753,28,Mo,Bamba,C,7.0,0.0,84.0,,,,,,,,19
754,29,J.J.,Barea,G,5.0,10.0,70.0,,,,,,,,7
755,30,Harrison,Barnes,F,6.0,8.0,80.0,,,,,,,,27
756,31,Will,Barton,G,6.0,5.0,77.0,,,,,,,,28
757,32,Keita,Bates-Diop,F,6.0,8.0,80.0,,,,,,,,18
758,33,Nicolas,Batum,F-G,6.0,8.0,80.0,,,,,,,,13
759,34,Jerryd,Bayless,G,6.0,3.0,75.0,,,,,,,,17
760,35,Aron,Baynes,C-F,6.0,10.0,82.0,,,,,,,,9
761,36,Kent,Bazemore,G,6.0,4.0,76.0,,,,,,,,26
762,37,Bradley,Beal,G,6.0,4.0,76.0,,,,,,,,24
763,38,Malik,Beasley,G,6.0,4.0,76.0,,,,,,,,9
764,39,Michael,Beasley,F,6.0,9.0,81.0,,,,,,,,16
765,40,Marco,Belinelli,G-F,6.0,5.0,77.0,,,,,,,,27
766,41,Jordan,Bell,F,6.0,8.0,80.0,,,,,,,,5
767,42,DeAndre',Bembry,F,6.0,5.0,77.0,,,,,,,,17
768,43,Dragan,Bender,F,7.0,1.0,85.0,,,,,,,,24
769,44,Davis,Bertans,F,6.0,10.0,82.0,,,,,,,,4
771,46,Khem,Birch,C,6.0,8.0,80.0,,,,,,,,27
772,47,Jabari,Bird,G,6.0,6.0,78.0,,,,,,,,2
773,48,Bismack,Biyombo,C,6.0,8.0,80.0,,,,,,,,27
774,49,Nemanja,Bjelica,F,6.0,9.0,81.0,,,,,,,,10
775,50,Antonio,Blakeney,G,6.0,4.0,76.0,,,,,,,,5
776,51,Eric,Bledsoe,G,6.0,1.0,73.0,,,,,,,,25
777,52,Trevon,Bluiett,G-F,6.0,6.0,78.0,,,,,,,,29
778,53,Bogdan,Bogdanovic,G,6.0,5.0,77.0,,,,,,,,13
779,54,Bojan,Bogdanovic,F,6.0,7.0,79.0,,,,,,,,20
780,55,Jonah,Bolden,F,6.0,10.0,82.0,,,,,,,,23
781,56,Isaac,Bonga,G,6.0,8.0,80.0,,,,,,,,28
782,57,Devin,Booker,G,6.0,6.0,78.0,,,,,,,,24
783,58,Chris,Boucher,F,6.0,9.0,81.0,,,,,,,,28
784,59,Avery,Bradley,G,6.0,3.0,75.0,,,,,,,,14
785,60,Tony,Bradley,C,6.0,11.0,83.0,,,,,,,,12
786,61,Mikal,Bridges,F,6.0,6.0,78.0,,,,,,,,20
787,62,Miles,Bridges,F,6.0,7.0,79.0,,,,,,,,4
788,63,Isaiah,Briscoe,G,6.0,3.0,75.0,,,,,,,,22
789,64,Ryan,Broekhoff,G-F,6.0,6.0,78.0,,,,,,,,7
790,65,Malcolm,Brogdon,G,6.0,4.0,76.0,,,,,,,,30
791,66,Dillon,Brooks,G-F,6.0,6.0,78.0,,,,,,,,11
792,67,MarShon,Brooks,G,6.0,5.0,77.0,,,,,,,,3
794,69,Bruce,Brown,G,6.0,4.0,76.0,,,,,,,,19
795,70,Jaylen,Brown,G,6.0,6.0,78.0,,,,,,,,2
796,71,Lorenzo,Brown,G,6.0,5.0,77.0,,,,,,,,28
797,72,Sterling,Brown,G,6.0,5.0,77.0,,,,,,,,14
798,73,Jalen,Brunson,G,6.0,2.0,74.0,,,,,,,,20
799,74,Thomas,Bryant,C,6.0,10.0,82.0,,,,,,,,12
800,75,Reggie,Bullock,G-F,6.0,6.0,78.0,,,,,,,,11
