player_id,first_name,last_name,position,height_feet,height_inches,height_total_inches,weight_pounds,jersey_number,college,country,draft_year,draft_round,draft_number,team_id,team_abbreviation,team_name,team_conference,team_division,full_name,position_standard
4,Bam,Adebayo,C-F,6.0,9.0,81.0,,,,,,,,16,MIA,Miami Heat,East,Southeast,Bam Adebayo,F-C
5,DeVaughn,Akoon-Purcell,G-F,6.0,5.0,77.0,,,,,,,,8,DEN,Denver Nuggets,West,Northwest,DeVaughn Akoon-Purcell,G-F
6,LaMarcus,Aldridge,F,6.0,11.0,83.0,,,,,,,,3,BKN,Brooklyn Nets,East,Atlantic,LaMarcus Aldridge,F
7,Rawle,Alkins,G,6.0,5.0,77.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Rawle Alkins,G
8,Grayson,Allen,G,6.0,4.0,76.0,,,,,,,,24,PHX,Phoenix Suns,West,Pacific,Grayson Allen,G
9,Jarrett,Allen,C,6.0,9.0,81.0,,,,,,,,6,CLE,Cleveland Cavaliers,East,Central,Jarrett Allen,C
10,Al-Farouq,Aminu,F,6.0,8.0,80.0,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Al-Farouq Aminu,F
11,Justin,Anderson,G-F,6.0,5.0,77.0,,,,,,,,12,IND,Indiana Pacers,East,Central,Justin Anderson,G-F
12,Kyle,Anderson,F,6.0,9.0,81.0,,,,,,,,16,MIA,Miami Heat,East,Southeast,Kyle Anderson,F
13,Ryan,Anderson,F,6.0,10.0,82.0,,,,,,,,19,NOP,New Orleans Pelicans,West,Southwest,Ryan Anderson,F
14,Ike,Anigbogu,C,6.0,10.0,82.0,,,,,,,,12,IND,Indiana Pacers,East,Central,Ike Anigbogu,C
15,Giannis,Antetokounmpo,F,6.0,11.0,83.0,,,,,,,,17,MIL,Milwaukee Bucks,East,Central,Giannis Antetokounmpo,F
16,Kostas,Antetokounmpo,F,6.0,10.0,82.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Kostas Antetokounmpo,F
17,Carmelo,Anthony,F,6.0,7.0,79.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Carmelo Anthony,F
18,OG,Anunoby,F,6.0,7.0,79.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,OG Anunoby,F
19,Ryan,Arcidiacono,G,6.0,3.0,75.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Ryan Arcidiacono,G
20,Trevor,Ariza,F,6.0,8.0,80.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,Trevor Ariza,F
21,D.J.,Augustin,G,5.0,11.0,71.0,,,,,,,,14,LAL,Los Angeles Lakers,West,Pacific,D.J. Augustin,G
22,Deandre,Ayton,C,7.0,0.0,84.0,,,,,,,,25,POR,Portland Trail Blazers,West,Northwest,Deandre Ayton,C
24,Marvin,Bagley III,F,6.0,10.0,82.0,,,,,,,,15,MEM,Memphis Grizzlies,West,Southwest,Marvin Bagley III,F
25,Ron,Baker,G,6.0,4.0,76.0,,,,,,,,20,NYK,New York Knicks,East,Atlantic,Ron Baker,G
26,Wade,Baldwin IV,G,6.0,4.0,76.0,,,,,,,,15,MEM,Memphis Grizzlies,West,Southwest,Wade Baldwin IV,G
27,Lonzo,Ball,G,6.0,6.0,78.0,,,,,,,,5,CHI,Chicago Bulls,East,Central,Lonzo Ball,G
28,Mo,Bamba,C,7.0,0.0,84.0,,,,,,,,19,NOP,New Orleans Pelicans,West,Southwest,Mo Bamba,C
29,J.J.,Barea,G,5.0,10.0,70.0,,,,,,,,7,DAL,Dallas Mavericks,West,Southwest,J.J. Barea,G
30,Harrison,Barnes,F,6.0,8.0,80.0,,,,,,,,27,SAS,San Antonio Spurs,West,Southwest,Harrison Barnes,F
31,Will,Barton,G,6.0,5.0,77.0,,,,,,,,28,TOR,Toronto Raptors,East,Atlantic,Will Barton,G
32,Keita,Bates-Diop,F,6.0,8.0,80.0,,,,,,,,18,MIN,Minnesota Timberwolves,West,Northwest,Keita Bates-Diop,F
33,Nicolas,Batum,F-G,6.0,8.0,80.0,,,,,,,,13,LAC,LA Clippers,West,Pacific,Nicolas Batum,G-F
